"Hide Default Store Code","Hide Default Store Code"
"If enabled, default store code will be hidden from URLs<br>http://www.example.com/default/<br>becomes<br>http://www.example.com/", "If enabled, default store code will be hidden from URLs<br>http://www.example.com/default/<br>becomes<br>http://www.example.com/"
